"Tool Name","Product Line","Built By","Description","Link","Include"
"AI Research Interviewer","All (Generalized)","Clarence Chng","AI conducts async 1:1 interviews with your users, so you get real insights without the scheduling - Set up a research session in minutes; define your topic, upload materials, get AI review and suggestions before you publish - Share a PIN link with participants; AI conducts the full chat interview adapting follow-up questions dynamically - Covers proposed features, pain points, process gaps, and design drafts - AI synthesises all findings into a structured summary, ready to export or share","https://chngclarence.github.io/candor-research","TRUE"
"AI Structured FRF Generator","SPX","Giga Mahendra","AI converts unstructured pain points and requests into a standardized FRF-style output - Analyzes sources like SeaTalk messages, slides, and documents - Generates structured sections for business impact, background, and requirements - Streamlines the transition from raw feedback to formal documentation","https://smart.shopee.io/apps/a/24464","TRUE"
"AI FRF Reviewer and Scorer","SPX-BSC; SPX-Finance","Gareth Wang, Huishan, Merry, Phan Nguyen Hong Gam, Qing Wei Chua","Problem Statement: There is currently no existing AI Tool to help requesters ensure their FRF is of good quality. Tool: An FRF Reviewer will score the FRF across several dimensions and generate an overall score based on preset weightages. Recommendations on how to improve the FRF is also provided. Benefits: Requesters get more timely feedback on FRF comprehensiveness and quality. BPMs spend less time doing FRF review.","https://workspace.google.com/u/0/marketplace/search/frf%20reviewer","TRUE"
"AI Development Effort Estimator","SPX","Alexander Nguyen","AI provides high-level development effort estimates based on historical feature request statistics - Analyzes past feature request data to identify patterns - Generates high-level estimates for expected development effort - Utilizes statistical insights to improve estimation accuracy","https://smart.shopee.io/apps/a/23982/live","TRUE"
"AI Dependency & Resource Impact Cross-Checker","SPX","Alexander Nguyen","AI cross-checks upstream and downstream system dependencies - Identifies impacts on priority and timeline based on historical project data - Highlights required priority approvals for specific product lines like RBX, RSX, and ROX - Flags potential resource conflicts with other high-priority projects such as shared Finance resources","https://smart.shopee.io/apps/a/23982/live","TRUE"
"Dynamic UAT Timeline Synchronizer","SPX","Eric Santoso","Real-time timeline recalculation when priority order changes + JIRA status change - Automatically updates estimated UAT start timelines when features are reordered or JIRA statuses change - Estimates UAT duration based on development effort, complexity, and cross-domain dependencies - Adds timeline buffers for features requiring alignment across multiple domains","https://smart.shopee.io/apps/a/24206?tab=edit","TRUE"
"Automated Feature Request & Alert System","SPX","Eric Santoso","Automated alerts and feature list updates for new feature requests - Send automated alerts to domain groups with FPM and local product stakeholders for each approved ticket - Update the domain feature list automatically with approved ticket details","https://smart.shopee.io/apps/a/24210","TRUE"
"AI Legal Compliance Automator","SLS-Core Service","Gerald Yip","AI assesses requirements for regional and local legal approval needs - Provides preliminary assessments for user review and confirmation - Automatically generates and sends compliance request forms with AI-identified details - Utilizes data from regional and local legal principles and past compliance responses","https://link.seatalk.io/profile/open?seatalk_id=9361704061","TRUE"
"AI Domain Scan and Use Case Retriever","All (Generalized)","Perry Chia","AI conducts domain scans based on keyword inputs to identify existing use cases - Retrieves use cases across different domains for specific keywords like Vehicle Type - Identifies relevant points of contact for each functional area - Enables solution designers to account for all existing use cases during system enhancements","https://smart.shopee.io/apps/a/23980/live?page=interact","TRUE"
"AI BRD Auditor and Risk Detector","WFM; SPX-NSS; WMS","Huifang Liu, Jin Tiloganart, Venus Tan Si Ting","AI tool performs a structured review of BRD drafts to critique, QA, and flag risks - Asks clarifying questions on ambiguous or underspecified requirements - Cross-checks if the solution addresses pain points in the FRF - Flags contradicting logic and validation rules across modules - Identifies loopholes and edge cases not accounted for in the BRD - Detects system, legal, user, and operational risks - Provides suggestions for user approval and updates Google Docs","https://smart.shopee.io/apps/a/23823","TRUE"
"AI BRD Logic Assistant","SPX-Finance","Phan Nguyen Hong Gam","AI BRD Assistant trained on current system - Understands current system using Confluence docs and UAT testing notes - Compares system data with new requirements to detect gaps and identify impacted logic - Automatically generates Business Requirement Documents (BRDs) based on a divided format","https://smart.shopee.io/apps/a/24543","TRUE"
"AI BRD Email Automation Workflow","All (Generalized)","Zhou Fangzhou Joe","AI workflow for drafting and sending BRD emails to local markets - Retrieves target markets and contact lists to generate recipients, subject lines, and timelines - Facilitates user approval before triggering email distribution - Monitors feedback and email threads to log sign-offs, opt-outs, and personnel updates - Automates follow-up reminders and identifies non-responsive regions - Generates daily reports and a final summary highlighting risks to the BRD owner","https://link.seatalk.io/profile/open?seatalk_id=9139401350","TRUE"
"Historical BRD Compliance Assistant","SLS-Finance","Alison Loo","Cross-Reference Historical BRDs Assistant - Surfaces relevant edge cases, special handling rules, and legacy logics from historical documents - Identifies conflicts or missing considerations during the drafting of new BRDs - Reduces revision rounds and prevents post-deployment fixes during the review cycle","https://link.seatalk.io/profile/open?seatalk_id=9202318042","TRUE"
"AI BRD & PRD Comparison Tool","SPX","Sherry Koo Jie Yin","AI compares BRD against PRD to identify requirement gaps - Automatically identifies missing or changed requirements between documents - Notifies users via SeaTalk to review identified gaps and changes - Facilitates FPM notification via SeaTalk once changes are approved","https://smart.shopee.io/apps/a/24367","TRUE"
"Automated PRD Generator","SPX-Driver","Jie Jiang","AI generates a first-draft PRD from a signed-off BRD and template - Maps business requirements to technical components and pre-fills specs - Carries forward edge cases, error states, and out-of-scope items - Flags sections requiring technical decisions for refinement - Enables rapid regeneration when source BRD changes to minimize rework","https://smart.shopee.io/apps/a/23993/live","TRUE"
"BRD Auto-Update and Stakeholder Notifier","SPX; SPX","Pinren Zhang, Sherry Koo Jie Yin","BRD Update and Stakeholder Notification Assistant - Automatically generates updates to the BRD based on differences identified in the PRD comparison - Directly updates the Google Doc with visual indicators like font color changes upon user approval - Drafts notifications for relevant stakeholders via SeaTalk","https://smart.shopee.io/apps/a/24056/live","TRUE"
"Automated UAT Test Executor","SPX; SPX","Danelle Goh, Joyce Tan Rui Lin","AI executes test cases in UAT environment and logs results - Executes predefined test cases within the UAT environment - Automatically logs pass or fail status for each test - Simplifies the tracking of manual testing outcomes","https://smart.shopee.io/apps/a/23866","TRUE"
"AI Release Timeline Planner","SPX-FM","Loh Nian En Alicia","AI proposes realistic release timelines and flags constraints - Ingests Jira tickets, UAT dates, and test case documents - Estimates UAT duration based on volume, complexity, and historical data - Recommends go-live dates by cross-checking Release Kanban schedules - Identifies constraints such as code freezes, holidays, and release conflicts - Presents a risk-indicated timeline for user confirmation","https://smart.shopee.io/apps/a/23606/live","TRUE"
"AI-Driven UAT Lifecycle Automator","SPX-FM","Loh Nian En Alicia","After user confirms UAT & go-live dates: - AI auto-creates SPUAT ticket pre-filled with Jira details, confirmed timeline, and scope summary - AI auto-creates Seatalk group with Market PICs, BPM, FPM, Dev, and QA - AI drafts and posts UAT kickoff message including feature summary, scope, timeline, responsibilities, and deliverables - AI drafts structured UAT email with release details, ready for review before sending","https://smart.shopee.io/apps/a/23606/live","TRUE"
"AI Auto-Reconciliation and Inference Tool","SPX-Finance; SPX-Finance; SPX-Finance","Ang Teng Wen Ernest, Evelyn, Goh Bing Xian Izak","AI Auto-Recon Tool - Phase 1: Identify differences in cost-calculated amount against offline billing - Phase 2: Inference potential differences based on inaccurate basic cost data - Phase 3: Inference potential differences based on system-related issues","https://izakgohbx.github.io/reconciliation-tool/","TRUE"
"Global Feature Adoption Tracker","WMS","Zhengyu Chen","AI identifies feature adoption status across all markets - Analyzes status based on feature toggles and usage logs - Automates tracking of how features are being used - Provides insights into market-specific adoption trends","","TRUE"
"AI Automated Post-Launch Feedback Collector","WMS-Inbound","Poh Jingwen Melissa","AI proactively reaches out to users post-launch to collect adoption feedback - Initiates contact with users to gather insights - Logs and summarizes all feedback findings - Automates the post-launch feedback loop","https://smart.shopee.io/apps/a/23886","TRUE"
"AI-Powered Root Cause Analysis Optimizer","SPX-LM","Ian Kiat Ng","AI structures RCA hypotheses from incident data and ranks similar causes - Auto-ranks similar causes to identify patterns - Proposes specific steps to address identified root causes - Streamlines the transition from incident data to actionable solutions","https://smart.shopee.io/apps/a/23983","TRUE"
"SeaTalk Live Issue AI Summarizer","All (Generalized)","Nicholas Chan","AI summarizes SeaTalk chat discussions regarding live issues to assist with upward reporting - Provides summaries covering context, root cause, business impact, and next steps with ETAs - Allows BPMs to edit summaries before notifying leadership - Streamlines the reporting process for real-time issue management","https://smart.shopee.io/apps/a/24213","TRUE"
"Order Allocation Troubleshooter Bot","SLS-Core Service; SLS-Core Service","Lee-Ann Ong","Order allocation troubleshooting bot - Explains why orders are allocated to specific warehouses and 3PLs based on criteria and configurations - Pulls data from logs, knowledge bases, and datatables - Enables local teams to troubleshoot problematic orders and understand system logic","https://smart.shopee.io/apps/a/19872","TRUE"
"Automated Exception Order Monitor and Notification Bot","SLS-Buyer Experience","Tan Wan Yun","Automated bot monitors exception orders and notifies relevant teams - Tracks all orders for refunds, damages, or lost but delivered status - Sends automated emails to local teams, BPM, and FPM regarding misconfigurations - Enables timely follow-up on problematic orders","https://smart.shopee.io/apps/a/24435","TRUE"
"Automated AI Meeting Minutes Recorder","All (Generalized)","Yeanhuar Lee","AI auto-generates meeting minutes in a fixed template format - Upload audio recordings of in-person meetings - Include pre-read materials for context - Use AI to generate standardized minutes automatically","","TRUE"
"Crowdsourced Internal Org Chart Bot","All (Generalized)","Amanda Thng","Crowdsourced internal org chart bot - Allows users to tag the bot to update personnel changes and portfolio shifts - Generates visual org chart representations for user verification - Provides a searchable database to identify topic leads and reporting lines","https://drive.google.com/drive/u/0/folders/1WXdArbdrP2MWudeI7kx15N1-vu_YSDxc","TRUE"
"SeaTalk to Confluence Summarizer","All (Generalized)","Cai Zhenxin","AI bot summarizes Seatalk thread conversations and documents them in Confluence - Summarizes chat threads within Seatalk upon being tagged - Automatically logs summarized content into Confluence documentation - Facilitates efficient knowledge sharing and record-keeping","https://smart.shopee.io/apps/a/24110/live","TRUE"
"Customized AI Onboarding Planner","SPX","Yeanhuar Lee","AI generates customized onboarding plans using past reference materials - Incorporates specific focus topics requested by the user - Tailors content based on historical data and user prompts - Streamlines the planning process for new employee integration","","TRUE"
"Unified Product AI Consultant","SPX; All (Generalized); SPX; SPX-LH","Eric Santoso, Giga Mahendra, Perry Chia, Sherry Koo Jie Yin","Master AI Consultant of Product Knowledge - Links individual product lines' AI tools together for supply chain queries - Routes questions to the most relevant specialized agent - Simplifies access to product knowledge through a single interface","https://smart.shopee.io/apps/a/23975/live","TRUE"
"AI Configuration Auditor","SPX-FM","Shi Liang Neoh","AI compares system configurations against documentation to detect errors - Audits settings against FRF, BRD, and PRD requirements - Identifies missing or incorrect configuration parameters - Reports discrepancies to ensure documentation alignment","https://smart.shopee.io/apps/a/24458","TRUE"
"Claude Troubleshooting Navigator","WMS","Jiaqi Liu (reg product)","Claude Chrome assists with system issue troubleshooting - Allows users to ask specific questions about SKU size tags or settings - Guides navigation to relevant pages using the system knowledge base - Helps confirm or modify settings to ensure proper configuration","https://claude.ai/project/019d4ccb-9096-71df-bf67-851add36839b","TRUE"
"AI PMO Task Tracker and Reminder Bot","SPX-BSC; WMS","Delvin, Huifang Liu","AI PMO Tracker tracks tasks, PICs, and deadlines using manual entry or natural language - Sends SeaTalk reminders to stakeholders for incomplete action items - Automatically adjusts deadlines upon approved extension requests - Allows stakeholders to query the bot for outstanding tasks and deadlines","","TRUE"
"Meeting Transcription to Calendar Action Items","SPX-LM","Winarsita Gilang Sotyaji","Auto Create Action Items in Google Calendar from Meeting Transcription / Notes - Auto-analyze action items, PIC, and due dates from generated meeting transcriptions or notes - Use AI to read action items and automatically create Google Calendar Tasks - Send reminders for action item deadlines via Google Calendar integration","https://smart.shopee.io/apps/a/24086?tab=edit","TRUE"
"AI Automated Meeting Follow-up System","SPX-NSS","Venus Tan Si Ting","Auto Followup Stakeholders from Meeting Transcription / Notes - Analyzes action items, owners (PIC), and due dates from generated meeting notes - Automatically follows up with action item owners via SeaTalk - Streamlines post-meeting coordination using AI automation","","TRUE"
"AI Weekly Status Generator","SPX-LM","Wayne Sim","Weekly Update Email Generator - AI aggregates weekly activity from emails and forwarded SeaTalk history - Allows users to input and store personal reflections - Generates a weekly update email draft using a fixed template - Highlights key progress and incorporates user reflections automatically","https://link.seatalk.io/profile/open?seatalk_id=9151989563","TRUE"
"Market Delivery and Ticket Lifecycle Portal","WFM","Anshul Chugh","End-to-End Market Delivery & Ticket Lifecycle Portal - Unified Lifecycle Tracking: A single source of truth that tracks every ticket in the pipeline from raised to Go-Live - Collaborative Input Hub: Markets directly input implementation plans and constraints - Real-time Feature Control: High-level visibility on feature toggle statuses and deployment progress for P0 items - Stakeholder Meeting Dashboard: Consolidated view for syncs highlighting ETAs, blockers, and UAT readiness","https://script.google.com/a/macros/shopee.com/s/AKfycbxg3JC2g-GOcghcdTHcRmOQI9gGKmFvnf9LoFXZdZeLnB9jpVGJXWgvX2CIXTpJo1sNwA/exec","TRUE"
"AI Performance Coaching and Observation Tracker","","Amanda Thng","Keep track of observations and 1:1 dialogue commitments. AI will map to performance dimensions for more prompt and timely feedback. These observations can be used to generate coaching plans and suggestions for performance evaluation.","https://smart.shopee.io/apps/a/24248","TRUE"
"Claude Shopee Slide Generator Fine-Tuning","","Winarsita Gilang Sotyaji","Fine tune Claude skills until it is able to create Shopee-format slides that are 70-80% ready to use","https://drive.google.com/file/d/1xXIoluLru0hjru9yb61yMRHpxG_1CapO/view?usp=drive_link","TRUE"
"Multi-Tier KB Management for BRD Generators","All (Generalized)","Amanda Thng","Structured and coordinated KB management for BRD generators - Implement Tier 1: General Context including BPM roles, templates, and a 3-step planning process - Implement Tier 2: Product Line specific Knowledge Base - A/B test context engineering methods for Tier 2 using Claude with NotebookLM versus pure Claude","https://drive.google.com/file/d/1lDy9EGRKbzDx2otjV8oKCB5QGmSAaEXu/view?usp=drive_link","TRUE"
